analyte,ossl_name_level0,ossl_abbrev_level0,ossl_method_level0,ossl_unit_level0,target_name,target_method,target_unit,ossl_level1_transform,ossl_name_level1,include
"Sand, Total, S prep",sand.tot_usda.c60_w.pct,sand.tot,usda.c60,w.pct,sand.tot,usda.c60,w.pct,x,sand.tot_usda.c60_w.pct,TRUE
"Silt, Total, iso 11277",silt.tot_iso.11277_w.pct,silt.tot,iso.11277,w.pct,silt.tot,usda.c62,w.pct,x,silt.tot_usda.c62_w.pct,TRUE
"Silt, Total, N prep",silt.tot_usda.c407_w.pct,silt.tot,usda.c407,w.pct,silt.tot,usda.c62,w.pct,x,silt.tot_usda.c62_w.pct,TRUE
"Silt, Total, S prep",silt.tot_usda.c62_w.pct,silt.tot,usda.c62,w.pct,silt.tot,usda.c62,w.pct,x,silt.tot_usda.c62_w.pct,TRUE
"Water Retention, 1/10 Bar (10 kPa)",wr.10kPa_usda.a414_w.pct,wr.10kPa,usda.a414,w.pct,wr.10kPa,usda.a414,w.pct,x,wr.10kPa_usda.a414_w.pct,TRUE
"Water Retention, 1/10 Bar (10 kPa), Clod",wr.10kPa_usda.a8_w.pct,wr.10kPa,usda.a8,w.pct,wr.10kPa,usda.a414,w.pct,x,wr.10kPa_usda.a414_w.pct,TRUE
"Water Retention, 15 Bar (1500 kPa)",wr.1500kPa_usda.a417_w.pct,wr.1500kPa,usda.a417,w.pct,wr.1500kPa,usda.a417,w.pct,x,wr.1500kPa_usda.a417_w.pct,TRUE
"Water Retention, 1/3 Bar (33 kPa)",wr.33kPa_usda.a415_w.pct,wr.33kPa,usda.a415,w.pct,wr.33kPa,usda.a415,w.pct,x,wr.33kPa_usda.a415_w.pct,TRUE
"Water Retention, 1/3 Bar (33 kPa), Clod",wr.33kPa_usda.a9_w.pct,wr.33kPa,usda.a9,w.pct,wr.33kPa,usda.a415,w.pct,x,wr.33kPa_usda.a415_w.pct,TRUE
"Zinc, Extractable, Mehlich3",zn.ext_usda.a1073_mg.kg,zn.ext,usda.a1073,mg.kg,zn.ext,usda.a1073,mg.kg,x,zn.ext_usda.a1073_mg.kg,TRUE
