dataset_code,ossl_file,public_url
GPKOR,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/GPKOR/ossl_soilsite_v1.3.parquet
Geocradle,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/Geocradle/ossl_soillab_v1.3.csv.gz
Geocradle,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/Geocradle/ossl_soillab_v1.3.parquet
Geocradle,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/Geocradle/ossl_soilsite_v1.3.csv.gz
Geocradle,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/Geocradle/ossl_soilsite_v1.3.parquet
Geocradle,ossl_visnir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/Geocradle/ossl_visnir_v1.3.csv.gz
Geocradle,ossl_visnir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/Geocradle/ossl_visnir_v1.3.parquet
HLF_CAN,ossl_mir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/HLF_CAN/ossl_mir_v1.3.csv.gz
HLF_CAN,ossl_mir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/HLF_CAN/ossl_mir_v1.3.parquet
HLF_CAN,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/HLF_CAN/ossl_soillab_v1.3.csv.gz
HLF_CAN,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/HLF_CAN/ossl_soillab_v1.3.parquet
HLF_CAN,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/HLF_CAN/ossl_soilsite_v1.3.csv.gz
HLF_CAN,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/HLF_CAN/ossl_soilsite_v1.3.parquet
HSDOS,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/HSDOS/ossl_soillab_v1.3.csv.gz
HSDOS,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/HSDOS/ossl_soillab_v1.3.parquet
HSDOS,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/HSDOS/ossl_soilsite_v1.3.csv.gz
HSDOS,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/HSDOS/ossl_soilsite_v1.3.parquet
HSDOS,ossl_visnir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/HSDOS/ossl_visnir_v1.3.csv.gz
HSDOS,ossl_visnir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/HSDOS/ossl_visnir_v1.3.parquet
ICRAF_ISRIC,ossl_mir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/ICRAF_ISRIC/ossl_mir_v1.3.csv.gz
ICRAF_ISRIC,ossl_mir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/ICRAF_ISRIC/ossl_mir_v1.3.parquet
ICRAF_ISRIC,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/ICRAF_ISRIC/ossl_soillab_v1.3.csv.gz
ICRAF_ISRIC,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/ICRAF_ISRIC/ossl_soillab_v1.3.parquet
ICRAF_ISRIC,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/ICRAF_ISRIC/ossl_soilsite_v1.3.csv.gz
ICRAF_ISRIC,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/ICRAF_ISRIC/ossl_soilsite_v1.3.parquet
ICRAF_ISRIC,ossl_visnir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/ICRAF_ISRIC/ossl_visnir_v1.3.csv.gz
ICRAF_ISRIC,ossl_visnir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/ICRAF_ISRIC/ossl_visnir_v1.3.parquet
LF_BRA,ossl_soillab_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/LF_BRA/ossl_soillab_v1.3.csv.gz
LF_BRA,ossl_soillab_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/LF_BRA/ossl_soillab_v1.3.parquet
LF_BRA,ossl_soilsite_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/LF_BRA/ossl_soilsite_v1.3.csv.gz
LF_BRA,ossl_soilsite_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/LF_BRA/ossl_soilsite_v1.3.parquet
LF_BRA,ossl_visnir_v1.3.csv.gz,https://storage.googleapis.com/soilspec4gg-public/datasets/LF_BRA/ossl_visnir_v1.3.csv.gz
LF_BRA,ossl_visnir_v1.3.parquet,https://storage.googleapis.com/soilspec4gg-public/datasets/LF_BRA/ossl_visnir_v1.3.parquet
